window,rmse_M0,rmse_M1,rmse_M2,rmse_M3,rmse_M4,rmse_M5,rmse_M6,rmse_M7,rmse_M8,rmse_M9,rmse_M10,rmse_M11,rmse_M12,rmse_M13
17,117.46334576974422,140.40357732268572,138.281612628565,129.9584100049276,157.34120558421841,153.9372256746363,141.61497612462824,584.7622310482351,193.95985988493337,112.9276908159683,111.09589583284377,111.27862411773818,109.5541918019425,96.43672747524242
18,131.4431501731841,140.13531037507306,141.01877181726383,134.32783200428526,154.65513834780126,152.92071826505827,143.6570819945159,441.48852385436817,199.86674036403952,133.3814021191142,136.89324986262844,137.034306905644,135.03950443336592,121.93314740737596
19,134.30244058741744,124.93492970640739,126.94405148097026,126.9839251645958,126.11544061278146,126.62145440375224,125.28972847016476,329.0968152124749,315.66346074296916,160.7147992864497,182.71900037459054,183.29606253303615,179.89240351748853,142.66178066785605
20,134.31151889837807,122.16873611986215,125.62495972830256,125.10300883061535,110.63910836784143,117.20888098355745,112.8915719931655,240.64062779416048,390.3621160686004,172.45742849228222,186.7053376660825,187.45717548462756,183.16761329235746,150.7598113963191
21,172.88509019780253,151.72331976109245,156.2512841507931,157.1216195115228,129.6176647246637,146.61681130229599,133.45706756255447,183.7309492717839,475.1951557585476,258.0164276143951,252.7056002771291,253.29517227298126,246.75604141758663,218.5314361417907
22,214.18601675733896,194.36043325539129,196.61984472723495,200.87080673177476,170.24313592159413,181.99437268776046,178.34080227714747,156.51932174977634,524.7960244016645,288.71256078372033,288.4569670435012,288.522104717605,283.1339351341319,246.53873167826896
23,114.24291216058154,101.32124029557858,104.60089771567597,103.47223537085937,90.78341630483773,98.6290234053581,93.49519357632947,128.24610784785946,536.1487523439929,113.45954697753882,145.34189393965718,145.11638243890866,145.8052195124532,101.67818131429817
24,41.09985142387676,38.78175392226783,38.7250175243515,39.500814920637254,39.396567982756,39.608801209907405,38.21034567847714,91.1268188958064,476.4648218808706,36.86602442051096,58.49665991591064,58.76002663314388,56.84438269454346,31.865830941277395
25,38.575903480124566,39.587540699508885,39.76440936726555,39.63997425860323,40.91258672789184,41.271925904827555,38.867979516246365,75.87147779477168,302.4692869370582,48.200728757665225,63.51715936708952,64.19834741092289,61.426878954127766,42.73823857653007
26,40.32858118694346,46.462829124343486,48.26410504906235,43.540637277138885,52.86966981323577,53.7050393542014,47.01331952510397,61.79519569552564,160.27428730490809,39.7747820990787,31.565984017902586,31.397908889440682,31.72174665561013,46.47793822012792
27,54.533862982991586,61.20068395828338,63.74816752342432,57.64128650071285,64.33344470411987,66.00916710086683,58.79873127344153,48.626363941229286,88.41533962539144,57.391476611893665,48.24852638035049,47.91720344787961,48.32373965218695,63.74830510786471
28,36.42839585966301,28.362840813357522,22.1054228086933,36.78451090910826,21.151732691037495,20.73600668020285,30.071716523450455,60.839918870215016,24.958393778755866,88.80686951465039,76.35409464796987,77.15766194009872,75.35382519614991,59.567955910382054
29,62.24166565064228,53.898054778133655,45.65377232618394,62.96850928590752,39.1038422741242,34.94073236254021,53.5783623212998,72.13404416756133,48.84204124081403,75.3356259363585,64.7226965091802,64.77391732760924,63.9768388425066,45.20739946839653
30,50.81102806532447,44.449845916577154,42.28493955468367,49.7628219144059,27.80872299206147,27.874501962686605,37.52887141839917,81.6230465948203,41.47480505526468,35.26205898951359,41.20569782942284,41.15848900136815,40.137673467157356,19.324651954168548
