window,mape_M0,mape_M1,mape_M2,mape_M3,mape_M4,mape_M5,mape_M6,mape_M7,mape_M8,mape_M9,mape_M10,mape_M11,mape_M12,mape_M13
21,46.3248369186068,39.335621014130396,40.79247580063652,41.136076255682354,31.6442786338403,36.95788453990517,33.273608919829925,40.63090889663778,146.73415025771007,74.50390091714286,74.51491358331326,74.69684961199805,72.70437253041976,63.18578719716
22,61.640293176257885,53.88745652894298,54.52856444338208,56.47283373397139,44.60702768040907,48.5279332612814,48.19683125126886,35.95050948881107,180.1453924558292,92.40873124688531,94.3393559418945,94.41065164862569,92.51991698563229,78.77466524015523
23,36.715973377932045,29.83525318017423,30.72291151435524,31.572489626788226,25.520732456064742,27.885557726059474,27.435645785865397,31.89548140584308,214.4960535558426,42.06026421970758,55.90077158883291,55.86259383690451,55.991674152009494,37.1280552589187
24,15.610834168432753,13.711884786099843,13.949362315341482,14.630451181064746,14.280613617466342,14.428489688648613,13.914827801501223,25.06632757327575,210.2774344755962,14.870992317045495,22.417763282428652,22.60301387315197,21.597543745313168,12.705681503549144
25,15.002125422104523,14.196972779350766,15.005772756522017,14.712248522366467,15.980231834583265,16.230144898812306,14.59898840552493,23.780822679042952,141.44862624198777,19.54024477871668,26.68588666356267,27.08029559104216,25.590637223809804,15.606131043458078
26,14.420973980465213,17.807216439762538,19.318503385507874,15.638932702209674,20.80459399094081,21.526107715968934,17.47329860591746,22.173379254424248,77.78312611430833,13.344305454756423,11.340726128305297,11.409679439050688,11.210544260256077,17.775884412075346
27,20.48768225939415,25.226500082129544,27.214929382761483,22.355015645814373,27.426421063914468,28.588633577559037,23.50723259977846,19.902166420362587,42.980940778445756,22.14386771021784,16.58654079968378,16.28711181048501,16.748539978904684,27.605316970833243
28,17.16466057887011,12.973111141194895,9.197531040321223,17.110605970430484,8.19536343100131,8.701110092611275,13.80640444353552,24.791647392800765,10.808240757832996,42.98464706259979,36.94662057488842,37.36415920112785,36.44021353911198,28.96356171697343
29,30.065370779287864,25.49683437133044,20.882716458967653,30.254542787997078,18.580770132640144,16.116087343313147,26.138285739173966,30.820842224727336,21.433077696268096,37.546771173915246,31.85607641242297,31.8879835393601,31.413132180212266,22.232158884033538
30,24.744934002192636,21.06016873879428,19.349818622751403,24.080684765269062,12.428680763667872,12.317612574236332,18.029867919342237,35.623507469422414,18.877086660960263,17.620573854818392,20.393528339374114,20.374898331908362,19.675301280305874,7.347872252347355
31,5.433630228660443,6.262544310791792,7.790542456471644,5.340169824948104,15.240580107913566,15.934038996286565,10.461792620697087,41.656793328284536,15.576636464815937,18.132675357086285,11.662668915764247,11.650417971277987,11.958756234522177,29.002326241466868
