window,mae_M0,mae_M1,mae_M2,mae_M3,mae_M4,mae_M5,mae_M6,mae_M7,mae_M8,mae_M9,mae_M10,mae_M11,mae_M12,mae_M13
35,8.822602094860418,13.638932873506253,17.9627160750238,10.536527999556814,15.247353994963134,14.392240756553775,14.152024449236006,108.22063916019543,46.99338655749772,21.175930876076286,12.877061564050074,13.009239914695726,12.452066795299828,16.355440542491515
36,16.702432738254878,21.89296204349551,30.19366459709084,15.710783986145511,28.172397118438926,27.273840892669423,26.814947591512592,107.52040945358976,51.85248550474084,10.519735153371052,18.169452417924553,18.127167679758088,19.364696150187513,36.99724794380338
37,9.103897537014618,14.553626471832075,15.501988911697431,11.735120237016687,19.622520894036473,18.95139790245139,16.24069731817617,105.26346980091935,59.741296911893166,8.519248250921251,6.213674057857411,6.1545879245497375,6.541474520529313,15.01020894623094
38,9.05977307619451,18.91844321483765,17.54166705680395,14.278239282937182,28.094708617691996,26.72848922685695,22.15574190145711,102.90532114896271,35.32660129208179,7.40675106330108,12.870393025825997,12.757133480879894,13.832886909773158,33.82953540944894
39,19.112970847123655,28.659056271240548,27.739669694688757,23.837384335699745,36.61799731587891,36.7737882235413,28.941169575203226,91.30028199113556,22.29029429409157,13.558103758560812,20.371161823682776,19.964851240657545,19.38823536264961,38.52573956987835
40,15.753541837740705,20.457190123418762,19.146346002169093,18.578977867508886,25.21529878112853,30.23924842292796,17.276860850308083,86.25593553214128,30.027400247308076,16.99134565596418,11.746345569708971,11.832068475890118,11.539904391777732,10.76713204848884
41,14.955864051020221,15.242350924418304,15.153556770903528,15.017851709391746,15.758560889441604,16.522458004334514,15.281209795178825,87.00408640760158,29.246485329947788,28.096349324321373,27.13154830297129,27.1604161260531,27.163917953902256,19.65942030895603
42,20.82566519351057,19.839922650871134,20.85045030948601,19.704155845248362,18.130456383827042,19.97598340917098,17.217801918215617,84.32598123473429,49.02606129847884,25.346577522947534,24.009985327973382,24.00577797076982,24.595022439323145,28.40836008859091
43,23.93613490052338,21.805926434893603,24.18770270352612,21.836626501993642,19.52251999538633,19.978335309279863,18.604518883158054,77.3808276403146,61.24416936379593,31.584221008188855,27.011126055980277,26.92037757878441,27.457649272542497,17.856074654619377
44,28.913102637926517,28.60990381202616,29.32741757129727,28.254069069945796,33.716028345608805,32.5840404329685,30.785718565330974,71.95782216463266,44.62114001988479,34.730507361167845,35.00088109492879,35.00971280111243,35.722166119306394,36.61873078043562
45,39.320359431628845,32.592908288298304,34.23382648475224,34.41748952845828,27.895093285384718,34.27188138765315,27.217706535843305,61.6525611851399,46.37718630132143,48.200699428358725,42.201398661526504,41.94685665464967,43.649632811001524,32.88628392547226
46,32.589527027819614,29.753195648386566,30.45149041332007,27.430646714777225,39.41705535907051,32.60080120211762,34.36317958561131,306.6831877152424,52.22879192628946,41.30329296683592,45.46212405119179,45.38563111314477,47.00548174096403,35.20923363163392
47,56.506818563769755,43.76854656008739,45.32769026024609,44.1157209467341,44.358534081893396,45.89082764939232,37.76479601031774,594.6677654681675,53.32831423908995,91.32818794904293,81.21392844829789,80.89204539421968,83.21709060901455,64.43521738333203
48,46.742183007253296,50.91534227762976,51.70052037495037,46.83217920747272,64.2195518280685,58.809609868270435,53.41405978301374,928.4499189988013,50.15915810572215,41.02598357403098,41.92989066664199,42.048837579470856,42.19853875069553,47.71808921286907
49,50.994061346266506,80.42874947968878,80.05601663800095,64.74250362458201,116.24019491913378,101.41897368020201,93.85136139039652,1297.7045862187138,59.826632813799876,42.175149879794745,46.20075555175667,46.77607718393746,45.46838109279284,88.17958173101175
50,81.51127899397505,136.40867112368107,136.03177297512164,111.950791006607,171.32388235145908,155.17108617998545,144.54368226990684,1713.8583894697392,38.35516292077326,60.18267636479552,66.05725460214643,66.99228921771183,63.84677455453994,105.56589717919414
51,96.56348087381029,142.68163504646242,141.14122569561158,121.21678213442445,170.04535747551125,156.11331767909144,147.05917915241284,2183.5061878090587,53.43105314385384,41.73981193518165,37.74407130306079,37.745760379180986,37.913232956638474,53.401277213087546
52,82.78930392003285,102.46935944242986,102.00641862011238,94.0482838259583,119.67369155864392,111.98977043462484,108.80820213239153,2709.4438917117936,51.92712257299757,114.70847232880946,121.78018666965923,121.82441671221406,122.72657922120094,111.18983487753516
53,184.47183216700154,223.77349770089143,225.40483077353767,204.6798306293724,265.2254747035205,253.55422561982212,237.6042541263192,3383.3811428368103,60.86264971376425,102.48526353807074,85.53120986617111,85.44216929616175,85.44987971889253,147.31145746566978
