data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,precip_total
2023-09-03,202336,446,446,446,446,3304557,0.04666416,6.731213,0,1,3.3045572023361997e+17,2024-09-12,0.8964647,Rio de Janeiro,6625849,20.6991571428571,87.9818714285714,0,0,1,77.0852428571429,59.4700428571429,23.8151857142857,28.1098571428571,164,NA,NA,NA,NA,40.300999999999995
2023-09-10,202337,550,550,550,550,3304557,0.9911103,8.300823,0,1,33045572023372e4,2024-09-17,1.1598191,Rio de Janeiro,6625849,19.7167285714286,88.5132428571429,0,1,1,74.1210857142857,53.774,23.5620142857143,28.4722285714286,219,NA,NA,NA,NA,73.0512
2023-09-17,202338,519,519,519,519,3304557,0.8926874,7.8329587,0,1,3.3045572023381997e+17,2024-09-24,1.0816946,Rio de Janeiro,6625849,20.7192285714286,90.7639714285714,0,0,1,74.5248,50.2639714285714,24.9454428571429,30.5400142857143,221,NA,NA,NA,NA,0.1205
2023-09-24,202339,446,446,446,446,3304557,0.02964183,6.731213,0,1,33045572023392e4,2024-10-02,0.88475883,Rio de Janeiro,6625849,21.7035142857143,90.2691857142857,1,0,1,77.6728857142857,59.1178571428571,24.4339428571429,28.8561285714286,207,NA,NA,NA,NA,22.851
2023-10-01,202340,472,472,472,472,3304557,0.18681471,7.1236153,0,1,3.3045572023402003e+17,2024-10-09,0.9445286,Rio de Janeiro,6625849,22.0612714285714,92.8211285714286,1,0,1,84.4095,71.7851,24.1390428571429,27.2779571428571,193,NA,NA,NA,NA,188.4911
2023-10-08,202341,380,380,380,380,3304557,9.992091e-4,5.735114,0,2,33045572023412e4,2024-10-16,0.8085594,Rio de Janeiro,6625849,22.3590857142857,92.6474,1,0,1,84.874,73.3621857142857,24.1755285714286,26.9240571428571,172,NA,NA,NA,NA,147.8971
2023-10-15,202342,464,464,464,464,3304557,0.7494623,7.0028763,0,2,3.3045572023422003e+17,2024-10-23,1.0456583,Rio de Janeiro,6625849,21.2718571428571,89.6377285714286,1,0,1,82.4633428571429,71.7073428571429,23.0559285714286,25.5558142857143,212,NA,NA,NA,NA,152.9085
2023-10-22,202343,450,450,450,450,3304557,0.7625061,6.7915826,0,2,33045572023432e4,2024-10-30,1.0493596,Rio de Janeiro,6625849,21.4660428571429,90.9163714285714,1,0,1,82.7997571428571,70.7042857142857,23.6369,26.8225428571429,214,NA,NA,NA,NA,100.9575
2023-10-29,202344,481,481,481,481,3304557,0.9147414,7.259447,0,2,3.3045572023442003e+17,2024-11-05,1.0945619,Rio de Janeiro,6625849,23.3971714285714,91.1584285714286,1,0,1,80.7131,65.3963142857143,25.7932428571429,29.2617142857143,270,NA,NA,NA,NA,134.9403
2023-11-05,202345,704,704,704,704,3304557,1,10.625053,0,1,330455720234520060,2024-11-12,1.5014987,Rio de Janeiro,6625849,20.5856142857143,84.6023428571429,0,1,1,70.8361714285714,52.1862857142857,24.0985857142857,28.8349857142857,385,NA,NA,NA,NA,2.4778
