epiweek,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
202521,3304557,17.53767142857143,26.63637142857143,21.684471428571428,55.9653,53.455914285714286,91.33517142857143,76.74278571428572
202522,3304557,18.147085714285712,25.296357142857143,21.282942857142856,13.7115,57.872685714285716,88.85872857142857,76.04212857142858
202523,3304557,18.371385714285715,26.072985714285714,21.684728571428572,6.3536,58.555771428571425,94.08338571428571,79.83087142857143
202524,3304557,16.356685714285714,21.74032857142857,18.82422857142857,129.5846,61.96351428571428,90.767,78.76727142857143
202525,3304557,14.752085714285714,26.442157142857145,20.05057142857143,0.033800000000000004,45.592014285714285,87.60177142857142,70.82627142857143
202526,3304557,16.516542857142856,25.88002857142857,20.414114285714287,7.773700000000001,53.536457142857145,90.29807142857143,75.25138571428572
202527,3304557,16.878614285714285,22.116414285714285,19.2532,90.7239,66.80017142857143,92.96364285714286,81.63872857142857
202528,3304557,14.562042857142858,22.148171428571427,18.196428571428573,4.9033,59.35321428571429,95.63791428571429,79.72542857142858
202529,3304557,14.418428571428572,23.722671428571427,18.70047142857143,1.1146,49.017628571428574,95.16487142857143,76.44777142857143
202530,3304557,15.907771428571428,23.8447,19.362285714285715,45.8394,59.3574,96.37134285714285,81.13994285714286
202531,3304557,14.369385714285714,24.59117142857143,18.828214285714285,3.8611,46.59421428571429,85.93951428571428,68.47195714285715
202532,3304557,15.609985714285715,24.8778,19.75687142857143,10.032,53.33508571428572,93.66187142857143,77.30145714285715
202533,3304557,14.655314285714287,21.540414285714284,17.78747142857143,16.9913,57.03782857142857,92.44287142857142,76.46719999999999
202534,3304557,16.59877142857143,28.164942857142858,21.82832857142857,5.0027,42.03241428571429,88.36845714285714,67.66988571428571
202535,3304557,19.07537142857143,25.82877142857143,21.913414285714286,20.3665,53.720171428571426,91.64928571428571,76.22251428571428
202536,3304557,17.369214285714285,26.341885714285713,21.417528571428573,15.2725,48.86298571428571,90.18024285714286,71.3188
202537,3304557,18.081414285714285,24.8268,21.0204,45.777,56.73941428571428,90.97295714285714,74.98388571428572
202538,3304557,18.123228571428573,27.31042857142857,22.08394285714286,13.1966,49.199,92.13455714285715,73.90092857142857
202539,3304557,18.566014285714285,26.060614285714287,21.93632857142857,121.5731,48.66247142857143,86.68572857142857,67.3392
202540,3304557,17.579757142857144,29.133257142857143,22.6909,0.055799999999999995,40.471585714285716,87.42062857142857,66.33911428571429
202541,3304557,19.36615714285714,26.41542857142857,22.46252857142857,126.70530000000001,57.594585714285714,87.64691428571429,74.30984285714285
202542,3304557,20.36552857142857,29.1788,24.003614285714285,48.9632,53.584428571428575,93.68124285714286,76.14284285714285
202543,3304557,16.235014285714286,23.206142857142858,19.32652857142857,122.24300000000001,52.08662857142857,87.88227142857143,71.87101428571428
202544,3304557,19.7352,28.048042857142857,22.985214285714285,174.9487,56.43888571428572,93.2082,78.99364285714286
202545,3304557,20.419014285714287,27.781771428571428,23.45382857142857,67.8307,63.977642857142854,92.19425714285714,80.60395714285714
202546,3304557,18.41987142857143,25.709085714285713,21.653257142857143,34.4673,54.59128571428571,88.8882,72.3331
202547,3304557,20.691442857142857,28.953557142857143,24.18852857142857,100.0144,52.195542857142854,90.84088571428572,73.62698571428571
202548,3304557,20.165971428571428,26.416985714285712,22.803185714285714,131.3455,60.06505714285714,93.10722857142858,77.84252857142857
202549,3304557,21.030557142857145,29.1801,24.47372857142857,55.063900000000004,53.87497142857143,91.71057142857143,74.66201428571429
