epiweek,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
202324,3304557,18.5332,25.607214285714285,21.5182,42.4503,59.75427142857143,93.40795714285714,80.53711428571428
202325,3304557,14.853471428571428,23.78547142857143,18.87152857142857,8.7891,51.938871428571424,89.47514285714286,74.32255714285715
202326,3304557,15.808714285714286,26.06157142857143,20.5677,15.560699999999999,50.91905714285714,90.42314285714285,74.66644285714285
202327,3304557,13.7483,23.7988,18.358428571428572,15.1522,46.50682857142857,88.48131428571429,70.30012857142857
202328,3304557,17.97652857142857,26.24715714285714,21.3162,45.3062,51.295457142857146,91.18991428571428,74.702
202329,3304557,16.7949,23.45062857142857,19.65587142857143,42.4782,62.27254285714286,92.69958571428572,79.9855
202330,3304557,17.27947142857143,26.629657142857145,21.432685714285714,30.9233,53.48818571428571,92.52485714285714,77.05381428571428
202331,3304557,15.930914285714286,25.046842857142856,19.90792857142857,14.4115,55.19345714285714,96.02918571428572,79.90272857142857
202332,3304557,18.198457142857144,28.08452857142857,22.15897142857143,33.1524,47.18624285714286,91.93525714285714,74.82444285714286
202333,3304557,18.923385714285715,26.1322,21.997357142857144,49.3446,58.400842857142855,90.29387142857142,76.90255714285715
202334,3304557,18.671685714285715,29.316514285714288,23.193914285714285,67.9103,45.63775714285714,88.64758571428571,72.351
202335,3304557,16.71557142857143,22.904442857142858,19.4278,195.8509,68.0599,95.12104285714285,83.88921428571429
202336,3304557,19.571357142857142,28.42287142857143,23.33582857142857,40.300999999999995,54.9399,88.05867142857143,74.13517142857143
202337,3304557,19.289728571428572,28.92022857142857,23.284385714285715,73.0512,49.2376,88.43222857142857,71.19798571428572
202338,3304557,19.879385714285714,31.644114285714284,25.23474285714286,0.1205,43.0584,91.64284285714285,70.25174285714286
202339,3304557,21.258957142857142,30.33704285714286,25.014914285714287,22.851,50.648914285714284,87.62185714285714,71.28325714285714
202340,3304557,21.575042857142858,28.4165,24.39737142857143,188.4911,67.88117142857143,94.2731,82.54388571428571
202341,3304557,21.58632857142857,27.702342857142856,24.026157142857144,147.8971,66.68167142857143,93.18962857142857,83.01981428571429
202342,3304557,20.5863,25.693114285714284,22.595971428571428,152.9085,67.41579999999999,90.16858571428571,81.04838571428571
202343,3304557,20.60452857142857,27.34637142857143,23.383914285714287,100.9575,67.00785714285715,92.6949,81.94152857142858
202344,3304557,22.99777142857143,29.734242857142856,25.719014285714287,134.9403,64.22648571428572,91.68268571428571,79.92967142857142
202345,3304557,19.590657142857143,28.620414285714286,23.62277142857143,2.4778000000000002,50.735057142857144,87.1736,70.22704285714286
202346,3304557,25.956157142857144,36.96174285714286,30.564257142857144,7.9344,40.54577142857143,89.77564285714286,68.45221428571429
202347,3304557,23.417428571428573,29.316585714285715,25.909742857142856,334.0101,65.19631428571428,89.51248571428572,78.91355714285714
202348,3304557,22.22677142857143,28.9385,25.268314285714286,111.796,61.88702857142857,91.16911428571429,77.60625714285715
202349,3304557,24.311228571428572,30.80494285714286,27.1073,136.8832,62.86148571428571,93.24882857142858,79.29771428571429
202350,3304557,21.61097142857143,28.931171428571428,24.894814285714286,90.9181,57.91405714285714,90.92904285714286,76.11854285714286
202351,3304557,22.9563,30.698757142857144,26.296557142857143,14.2447,53.591185714285714,91.3377,74.32088571428572
202352,3304557,23.651914285714287,30.9614,27.067985714285715,76.664,53.99671428571428,86.89018571428572,71.21814285714285
202401,3304557,22.619314285714285,27.26262857142857,24.602385714285713,97.64189999999999,65.35088571428571,89.32188571428571,79.39187142857143
202402,3304557,24.470642857142856,32.0431,27.9452,119.569,55.25037142857143,90.7496,73.73595714285715
202403,3304557,25.78035714285714,32.90222857142857,28.914214285714287,96.5672,57.843442857142854,91.20302857142858,76.02101428571429
202404,3304557,21.88472857142857,25.770885714285715,23.70865714285714,399.1425,76.75698571428572,93.32175714285714,85.91151428571429
202405,3304557,22.797757142857144,29.727457142857144,25.682628571428573,115.4267,64.37375714285714,94.34584285714286,82.2012
202406,3304557,23.41962857142857,30.663757142857143,26.664857142857144,44.1902,61.00747142857143,94.07184285714285,78.882
202407,3304557,24.054614285714287,30.73614285714286,26.911771428571427,129.07739999999998,60.53012857142857,89.39922857142857,76.57447142857143
202408,3304557,23.916757142857143,29.967385714285715,26.2614,134.1101,66.35587142857143,91.84271428571428,81.78032857142857
202409,3304557,24.429914285714286,30.299,26.963428571428572,52.514,65.55414285714286,92.03584285714285,80.61582857142857
202410,3304557,22.722628571428572,29.80142857142857,25.960757142857144,86.3614,62.80021428571428,93.79825714285714,79.98467142857143
202411,3304557,23.125185714285713,30.342314285714284,26.509228571428572,40.3248,61.772357142857146,94.556,79.31748571428571
202412,3304557,24.741585714285716,31.44562857142857,27.692357142857144,261.9597,61.483085714285714,90.97875714285715,78.32951428571428
202413,3304557,22.25802857142857,25.4453,23.58675714285714,253.3453,76.56985714285715,95.21204285714286,88.3357
202414,3304557,21.0899,28.302542857142857,24.408571428571427,9.859,63.8867,97.46974285714286,82.94847142857144
202415,3304557,21.97632857142857,27.944914285714287,24.69147142857143,36.5086,66.62292857142857,95.60558571428571,83.27947142857143
202416,3304557,21.481357142857142,27.556514285714286,24.14687142857143,56.501400000000004,59.386471428571426,89.51074285714286,75.86574285714286
202417,3304557,20.013814285714286,28.820457142857144,23.892714285714284,12.907900000000001,52.738014285714286,90.1656,74.37358571428571
202418,3304557,21.831457142857143,31.947414285714284,26.42684285714286,0.1109,46.5588,90.922,72.29405714285714
