data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
2022-04-03,202214,1475,1475,1475,1475,4209102,1,246.79666,0,4,420910220221419700,2023-11-24,1.796759,Joinville,597658,20.4285714285714,98.3097628571429,1,1,2,91.7022714285714,83.1774457142857,22.611111,25,1105,NA,NA,NA,NA,4209102,18.9601,23.943214285714287,21.0163,118.2769,76.20988571428572,97.6577,89.80137142857143
2022-04-10,202215,2161,2161,2161,2161,4209102,1,361.57803,0,4,420910220221519700,2023-11-24,1.9183383,Joinville,597658,18.2857142857143,99.1132242857143,1,1,2,86.0136508571428,70.807552,21.6825394285714,24.5714285714286,1695,NA,NA,NA,NA,4209102,17.338157142857142,22.5058,19.684114285714287,249.7365,71.63542857142858,95.52657142857144,86.37808571428572
2022-04-17,202216,2968,2968,2968,2968,4209102,1,496.60507,0,4,420910220221619700,2023-11-24,1.8871622,Joinville,597658,16.4285714285714,97.4109042857143,0,1,2,82.4089091428571,65.0283894285714,20.9943488571429,25,2011,NA,NA,NA,NA,4209102,15.140028571428571,22.612828571428572,18.640885714285716,166.7899,65.54648571428571,95.71415714285716,83.92958571428571
2022-04-24,202217,2913,2913,2913,2913,4209102,1,487.4025,0,4,420910220221719700,2023-11-24,1.3518956,Joinville,597658,20.5714285714286,94.91179,1,1,2,84.71878,72.703155,23.3158728571429,26.2857142857143,1952,NA,NA,NA,NA,4209102,17.854485714285715,24.83757142857143,20.757414285714283,64.6186,68.73785714285714,96.38422857142857,85.67681428571429
2022-05-01,202218,3332,3332,3332,3332,4209102,1,557.50946,0,4,420910220221819700,2023-11-24,1.2450936,Joinville,597658,17.2857142857143,98.278152,0,1,2,90.3931057142857,78.8404812857143,19.3630325714286,22.1428571428571,2562,NA,NA,NA,NA,4209102,16.317714285714285,20.784542857142856,18.2738,502.667,71.10992857142857,95.14022857142857,86.20372857142857
2022-05-08,202219,3188,3188,3188,3188,4209102,0.99564004,533.4154,0,4,420910220221919700,2023-11-24,1.0690775,Joinville,597658,16.5714285714286,98.2591877142857,0,1,2,86.0850812857143,70.7546592857143,19.831767,23.4285714285714,2365,NA,NA,NA,NA,4209102,15.066457142857145,20.506714285714285,17.558028571428572,72.1904,70.543,95.28107142857144,86.10948571428571
2022-05-15,202220,3159,3159,3159,3159,4209102,0.5644432,528.5632,0,4,420910220222019700,2023-11-24,1.0040946,Joinville,597658,11.8571428571429,90.3792735714286,0,0,2,65.9488241428571,41.5813124285714,17.6917292857143,22.7142857142857,2177,NA,NA,NA,NA,4209102,10.8441,18.99551428571429,14.746414285714286,3.7665,49.99392857142857,81.73942857142858,68.73582857142857
2022-05-22,202221,2638,2638,2638,2638,4209102,5.0415228e-12,441.38956,0,4,420910220222119700,2023-11-24,0.8359718,Joinville,597658,14.4285714285714,100,0,0,2,86.370388,66.1027907142857,19.1105925714286,23.8571428571429,1703,NA,NA,NA,NA,4209102,13.565442857142855,22.245857142857144,16.957642857142858,13.2162,63.42811428571429,97.41778571428571,86.20145714285714
2022-05-29,202222,1949,1949,1949,1949,4209102,0,326.10623,0,4,420910220222219700,2023-11-24,0.65657896,Joinville,597658,14.2857142857143,100,0,0,2,92.7625531428571,82.2797164285714,15.9078531428571,17.7142857142857,1240,NA,NA,NA,NA,4209102,13.207342857142857,16.57497142857143,14.578914285714283,599.3948,81.57152857142857,96.04052857142857,90.07834285714286
2022-06-05,202223,1271,1271,1271,1271,4209102,0,212.66344,0,4,420910220222319700,2023-11-24,0.4995474,Joinville,597658,15.7142857142857,100,0,0,2,92.4529661428571,82.8464988571429,17.3474637142857,19.1428571428571,620,NA,NA,NA,NA,4209102,14.173942857142857,18.647671428571428,16.062385714285714,210.2071,74.79185714285714,96.76907142857142,88.78594285714286
2022-06-12,202224,942,942,942,942,4209102,0,157.61522,0,4,420910220222419700,2023-11-24,0.4807599,Joinville,597658,10.5714285714286,99.0720014285714,0,0,2,80.8746687142857,58.2781107142857,15.6052631428571,20,448,NA,NA,NA,NA,4209102,10.332342857142857,19.66634285714286,14.253357142857142,9.9355,59.361157142857145,88.97208571428571,77.57821428571428
2022-06-19,202225,930,930,930,930,4209102,0,155.60739,0,4,420910220222519700,2023-11-24,0.6578647,Joinville,597658,14.5714285714286,100,0,0,2,87.6045337142857,74.0308498571429,17.6791984285714,20.8571428571429,458,NA,NA,NA,NA,4209102,13.967657142857142,21.35762857142857,16.855414285714286,14.9431,70.26055714285714,95.64492857142857,86.64001428571429
2022-06-26,202226,655,655,655,655,4209102,0,109.59445,0,4,420910220222619700,2023-11-24,0.61728835,Joinville,597658,12.8571428571429,99.1065457142857,0,0,2,82.595604,64.219479,17.0225562857143,21,283,NA,NA,NA,NA,4209102,12.365285714285712,18.904457142857144,14.953228571428571,9.6686,67.49552857142858,92.6299,84.06385714285715
2022-07-03,202227,452,452,452,452,4209102,0,75.62854,0,4,420910220222719700,2023-11-24,0.5259083,Joinville,597658,14.1428571428571,100,0,0,2,87.5187851428571,66.6762138571429,18.6365914285714,23.7142857142857,161,NA,NA,NA,NA,4209102,14.700042857142858,23.61265714285714,18.31492857142857,5.274,59.953671428571425,92.00231428571428,80.40335714285715
2022-07-10,202228,324,324,324,324,4209102,0,54.211605,0,4,420910220222819700,2023-11-24,0.48361027,Joinville,597658,15.8571428571429,99.1328242857143,0,0,2,90.2326462857143,77.8361692857143,18.066792,21.1428571428571,119,NA,NA,NA,NA,4209102,14.9057,22.39511428571429,17.8031,47.1664,64.1636,93.25604285714286,81.90165714285715
2022-07-17,202229,290,290,290,290,4209102,5.255796e-13,48.522736,0,4,420910220222919700,2023-11-24,0.5949596,Joinville,597658,16,96.4883214285714,0,0,1,86.0740292857143,76.3072698571429,18.2951128571429,21.4285714285714,89,NA,NA,NA,NA,4209102,14.680842857142856,21.478042857142857,17.530571428571427,12.4364,68.49815714285714,93.64255714285714,84.33688571428571
2022-07-24,202230,217,217,217,217,4209102,1.0265857e-9,36.30839,0,1,420910220223019700,2023-11-24,0.60256135,Joinville,597658,15,96.5338848571429,0,0,1,79.400408,57.9671915714286,18.6981618571429,23.2857142857143,73,NA,NA,NA,NA,4209102,14.096457142857142,22.39722857142857,17.540285714285716,6.022,55.87098571428571,92.55374285714286,78.04835714285714
2022-07-31,202231,165,165,165,165,4209102,1.0062764e-8,27.607761,0,1,420910220223119700,2023-11-24,0.5831613,Joinville,597658,14.5714285714286,97.39187,0,0,1,86.7249827142857,73.0328757142857,16.9743107142857,19.7142857142857,53,NA,NA,NA,NA,4209102,13.180057142857144,21.5463,16.683185714285713,36.9165,62.29871428571428,95.18017142857144,82.79735714285714
2022-08-07,202232,128,128,128,128,4209102,1.5568526e-7,21.416931,0,1,420910220223219700,2023-11-24,0.57357097,Joinville,597658,14,100,0,0,1,90.8749057142857,77.3489585714286,16.7037591428571,19.2857142857143,27,NA,NA,NA,NA,4209102,13.257642857142857,17.15882857142857,14.860857142857142,1003.0567,80.94468571428571,95.67282857142855,90.2386
2022-08-14,202233,97,97,97,97,4209102,2.169265e-6,16.230019,0,1,420910220223319700,2023-11-24,0.56494784,Joinville,597658,13.1428571428571,100,0,0,1,85.5714137142857,72.3456012857143,16.6647242857143,19.5714285714286,22,NA,NA,NA,NA,4209102,13.171614285714286,19.554957142857145,15.9216,245.7966,66.42492857142857,93.82865714285714,80.68787142857143
2022-08-21,202234,89,89,89,89,4209102,0.001714537,14.891459,0,1,420910220223419700,2023-11-24,0.6726553,Joinville,597658,14.8571428571429,99.1132242857143,0,0,1,88.8768678571429,75.72244,17.8261281428571,21,15,NA,NA,NA,NA,4209102,13.062114285714284,20.596442857142858,16.19702857142857,21.6668,67.77267142857143,98.20152857142855,87.06415714285714
2022-08-28,202235,89,89,89,89,4209102,0.11213247,14.891459,0,1,420910220223519700,2023-11-24,0.8402587,Joinville,597658,12.1428571428571,97.3118385714286,0,0,1,88.5265314285714,75.9863371428571,15.0924812857143,18.7142857142857,21,NA,NA,NA,NA,4209102,11.211314285714286,18.606985714285713,14.57077142857143,104.4792,68.24771428571428,93.04461428571427,82.35237142857143
2022-09-04,202236,69,69,69,69,4209102,0.034852557,11.545064,0,1,420910220223619700,2023-11-24,0.7507396,Joinville,597658,14.8571428571429,100,0,0,1,85.2624485714286,64.3076698571429,18.4887218571429,23.8571428571429,10,NA,NA,NA,NA,4209102,13.293114285714283,21.8281,17.041757142857143,200.2007,67.27567142857143,95.10815714285714,83.64552857142857
