data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg,temp_avg_4w,umid_avg_4w,temp_min_avg_4w,temp_max_avg_4w,umid_min_avg_4w,umid_max_avg_4w,temp_avg_8w,umid_avg_8w,temp_min_avg_8w,temp_max_avg_8w,umid_min_avg_8w,umid_max_avg_8w,temp_avg_12w,umid_avg_12w,temp_min_avg_12w,temp_max_avg_12w,umid_min_avg_12w,umid_max_avg_12w,temp_above_25,temp_med_range_4w,umid_med_range_4w,temp_med_lag1,temp_med_lag2,temp_med_lag3,temp_med_lag4,umid_med_lag1,umid_med_lag2,umid_med_lag3,umid_med_lag4,year,week_id,time_id,year_id,obs_id
2023-02-26,202309,1132,1132,1132,1132,4209102,1,183.17775,0,3,420910220230919800,2024-03-05,3.251672,Joinville,617979,23.4074074074074,95.7213674074074,1,1,2,94.1641205555556,92.6047575555556,23.7098764444444,23.962962962963,543,NA,NA,NA,NA,4209102,20.267857142857142,26.62204285714286,23.10508571428571,186.4355,70.10211428571428,95.88805714285716,85.4207,1.2661128491548388,-0.29890558175026904,1.200302243806716,1.2703713452860455,-0.2375375536893383,0.3992656415536607,1.2182576098564972,-0.22037584846417893,1.1089836866940652,1.3113288955766296,-0.5352711760236197,1.0827507615068628,1.1094397856246245,-0.12015659988345503,1.0336886049158884,1.1481017213106774,-0.2501030554287806,1.1371762516974357,0,-0.24776720766120539,-1.379012301484746,0.5953752109890988,1.2966719407161562,1.2401499551687944,1.4713536349023024,0.12868950737961757,-0.33424164792207756,-0.3754657626065976,-0.09404850304877321,2023,9,418,9,418
2023-03-05,202310,1344,1344,1344,1344,4209102,1,217.48312,0,4,420910220231019800,2024-03-13,2.195229,Joinville,617979,23.4074074074074,95.9332703703704,1,1,2,94.6737235555556,93.4333259259259,23.5555555555556,23.7037037037037,526,NA,NA,NA,NA,4209102,20.67701428571429,26.627514285714284,23.22907142857143,454.9466,73.26378571428572,96.254,87.28831428571428,1.163141289080377,-0.2159444776041261,1.0858997607748615,1.1766464468715914,-0.16326525830111333,0.2869297848567208,1.305664783929174,-0.09099887087656393,1.2055088493324115,1.39277228715892,-0.30588539455171104,0.9798135779989728,1.1064561102081532,-0.30996337871531043,1.0263282537958702,1.1389439229248857,-0.34094689578397613,0.9039415809053666,0,-0.6381854379369108,-1.379012301484746,1.0936329068808974,0.5974891293459674,1.295488288761954,1.2416518181247513,0.0949907336795595,0.12768674862923346,-0.33434748239965084,-0.37595163056861924,2023,10,419,9,419
2023-03-12,202311,2294,2294,2294,2294,4209102,1,371.21002,0,4,420910220231119800,2024-03-19,2.2278903,Joinville,617979,22.6296296296296,98.25992,1,1,2,95.7778666296296,93.297922962963,23.0308642962963,23.4814814814815,945,NA,NA,NA,NA,4209102,19.8796,25.265685714285713,22.244957142857142,198.0941,75.21945714285715,98.33495714285716,88.96344285714285,1.1341168508911479,0.21397268341327258,1.127992136132521,1.09488352919032,0.39140442345578796,0.13602921484215158,1.353056162699191,0.06765878515223653,1.2826894766395962,1.4210125318436733,-0.09034984369993045,0.9036074273191055,1.157425383284515,0.05540765918382628,1.083971586662386,1.1908564293744748,-0.10075227504626526,1.0890490517876084,0,-0.6381854379369108,-0.9521714126984528,1.1328513149074984,1.096461302211419,0.5967174560978121,1.297028262417729,0.5970467772271111,0.0940084276363731,0.12755963453774108,-0.33484163712583725,2023,11,420,9,420
2023-03-19,202312,3745,3745,3745,3745,4209102,1,606.0076,0,4,420910220231219840,2024-03-27,2.3496203,Joinville,617979,22.5714285714286,98.31588,1,1,2,84.2599571428571,71.3337724285714,25.9075188571429,28.7142857142857,1853,NA,NA,NA,NA,4209102,20.44867142857143,28.116128571428572,23.728285714285715,58.2914,62.34841428571429,97.46442857142856,84.05332857142857,1.0041588340126575,0.8249185957619312,1.0525225782059047,0.8824648346871191,1.0767304035886596,0.6231967666129408,1.3106359258776326,-0.016480907403811997,1.2253848656001343,1.368044809765628,-0.17730400456607054,0.9330861976846591,1.253263939997646,0.16313150611949756,1.1641659977006218,1.3153795929252734,-0.1152485778914283,1.3229519901707951,0,-0.998652582502581,-0.9303888830731248,0.8215622617750672,1.135735947501808,1.0953956201478474,0.5977761965158664,1.047358401762175,0.5957597596431752,0.09388286500106638,0.12697238945551834,2023,12,421,9,421
2023-03-26,202313,4894,4894,4894,4894,4209102,1,791.9363,0,4,420910220231319800,2024-04-02,1.9781545,Joinville,617979,22.0769230769231,94.5033005384615,1,1,2,85.3305309230769,75.4699684615385,23.9561404230769,25.8461538461538,2990,NA,NA,NA,NA,4209102,19.844942857142858,26.514757142857142,22.721614285714285,131.0493,65.88694285714286,96.10744285714286,84.09325714285714,1.1956245723556005,0.647379760008444,1.156766633472746,1.2204455760575021,0.30123591744342604,1.0887761684292059,1.2931858960135478,0.22328368264305135,1.2358637007597142,1.3322001287381704,0.03905356850161055,0.9214598002245541,1.3033994846893566,0.1493336703142069,1.209572417065272,1.3954940482704834,-0.26819260668828937,1.3240843324779454,0,-1.1518034810063293,-0.563128603767552,1.2907597454282387,0.8240005212125803,1.1346471236829128,1.0967977929134587,-0.2725889613033265,1.045798077740257,0.5956110828743617,0.09330240695968231,2023,13,422,9,422
2023-04-02,202314,5383,5383,5383,5383,4209102,1,871.0652,0,4,420910220231419840,2024-04-08,1.4946128,Joinville,617979,18.4285714285714,100,1,1,2,84.168222,68.1148818571429,22.3909775714286,25.7142857142857,4158,NA,NA,NA,NA,4209102,17.384571428571427,22.83017142857143,19.811785714285715,175.9433,71.22124285714285,95.63998571428571,85.6417,1.162226810253685,0.4894993094715611,1.121630508276408,1.2104104470018497,0.023715788505515444,1.1325193032558936,1.2214746544683104,0.17519793831583758,1.1573602903009184,1.2766348622991548,-0.09117728981608385,0.8790714160857319,1.3527355004977795,0.1709918004227904,1.2646712844639532,1.4495784792372368,-0.22822781868917733,1.2669076756051485,0,-1.1518034810063293,-0.563128603767552,0.9723355538842395,1.2938708109276154,0.8230953809103034,1.136076328384101,-0.26185527782849194,-0.2733481731787482,1.0456286690966996,0.5949295091395347,2023,14,423,9,423
2023-04-09,202315,5649,5649,5649,5649,4209102,1,914.1087,0,4,420910220231519800,2024-04-15,1.229088,Joinville,617979,18.7142857142857,100,1,1,2,86.5265162857143,68.8062148571429,22.7894741428571,26.8571428571429,4176,NA,NA,NA,NA,4209102,17.742,23.849442857142854,20.36487142857143,128.0941,70.14177142857143,96.90481428571428,86.8068,0.8646043883038551,0.29365795638417486,0.8480911923013628,0.8552203278541348,-0.11076195852827982,1.010091506291248,1.0497039694374888,0.3254356271847013,1.0358573928619306,1.0426390499933633,0.1780602974263133,0.7101621280498498,1.2756590675272903,0.19644658827477693,1.2178007092313423,1.3344196733024865,-0.12796203539698012,1.152514584026749,0,0.5745345292488263,-0.563128603767552,0.051916255103051555,0.9749900147900733,1.292688809479986,0.8243100244894709,0.15440042361003434,-0.26262100426991,-0.27345681283054857,1.0448564011599693,2023,15,424,9,424
2023-04-16,202316,5648,5648,5648,5648,4209102,0.99998295,913.9469,0,4,420910220231619840,2024-04-22,1.0828036,Joinville,617979,16.5714285714286,99.0997914285714,0,1,2,82.4042524285714,64.138911,20.7744361428571,24.7142857142857,4458,NA,NA,NA,NA,4209102,15.299557142857145,22.164614285714286,18.485185714285716,334.35269999999997,65.00057142857143,93.98604285714286,81.51528571428571,0.7008616665818154,0.03715595774769028,0.6704973304793632,0.7227499431417155,-0.44506864522271294,0.7249365132913027,0.8952583487387489,0.5529295954877936,0.9030064739720324,0.8579450590049416,0.4029755797797784,0.8350002407324103,1.184872331752427,0.004322904950426699,1.111571144616665,1.2463226703643275,-0.36137278248721655,1.0419812681581133,0,0.5745345292488263,-1.1423781343096313,0.22686496868270528,0.053250880107689885,0.9739959071173475,1.2942268551753826,0.46760508305797466,0.15338206020156606,-0.2627301380892361,-0.27396323914533277,2023,16,425,9,425
2023-04-23,202317,5879,5879,5879,5879,4209102,0.99959594,951.32684,0,4,420910220231719900,2024-04-29,1.0647749,Joinville,617979,17.7142857142857,100,0,1,2,87.9393574285714,70.491297,21.1616541428571,24.4285714285714,4282,NA,NA,NA,NA,4209102,16.3967,22.27888571428571,19.03348571428571,53.0419,70.68608571428571,97.18237142857144,86.88341428571428,0.24422319646451132,-0.26470814706967466,0.24270396831486918,0.16606619142941847,-0.2704548709737362,0.03138408315867863,0.7558144803085247,0.24523274092930802,0.7331525189032133,0.7408258625575042,0.017961828390070954,0.6941192837725784,1.0029272872419104,0.039862249106667136,0.9604860877552228,1.0088823264169926,-0.1069737840647456,0.7103773427689498,0,0.8015242295791652,-0.4606889391670657,-0.36770579883934407,0.2284504615182943,0.05279988775451103,0.9753144736787085,-0.9548710390097109,0.4663966271776064,0.15325376240646532,-0.2632387262022134,2023,17,426,9,426
2023-04-30,202318,6184,6184,6184,6184,4209102,0.9999972,1000.6813,0,4,420910220231819840,2024-05-06,1.086939,Joinville,617979,21.1851851851852,96.7561925925926,1,1,2,95.2856148148148,94.1039940740741,21.4320986666667,21.6296296296296,4776,NA,NA,NA,NA,4209102,17.986671428571427,24.502514285714287,20.76087142857143,11.7472,69.18065714285714,98.52025714285716,88.08251428571428,-0.07698780245846518,0.06714136676260712,-0.04377936135397621,-0.2301423507038321,0.04551300057665586,0.2457131956177837,0.5693397357686693,0.3568919091078306,0.5643116798986979,0.523275439922179,0.0425971833326226,0.8536007164267241,0.8329585383854287,0.16721788220002912,0.798958038095001,0.818521206437856,-0.050996550707408356,0.7782171106888062,0,-0.8705876187305861,-0.44011122093901844,-0.19427087333307755,-0.36697289117424864,0.22789623651168675,0.05348404010988261,0.4882006982549449,-0.9552161552362592,0.46625390976858705,0.15266133906345458,2023,18,427,9,427
2023-05-07,202319,5552,5552,5552,5552,4209102,0.0037164018,898.4124,0,4,420910220231919900,2024-05-13,0.95106775,Joinville,617979,19.4615384615385,96.6440080769231,1,0,2,92.0160261538462,86.9442338461538,20.4291498846154,21.3846153846154,4646,NA,NA,NA,NA,4209102,15.792157142857144,21.549614285714284,18.590257142857144,85.5429,66.2467,96.24657142857144,84.20147142857142,0.005671129963502336,0.3574415156781426,0.006243685148187133,-0.07371727110716594,-0.08883589130918301,0.8200081165413295,0.4562989251602422,0.41751872613798324,0.44697215364155685,0.4168333672791554,-0.12965323288943195,1.132841964008344,0.7423289354546778,0.4271415518414862,0.7317480075182504,0.7117112600314862,0.09095427716911993,0.9183159637530649,0,-0.5896251497349598,-0.11804671694729457,0.35212528329237597,-0.19328926853450454,-0.36717627554461174,0.22870097515785154,0.8105453099998828,0.48697974233255936,-0.9552933833370264,0.46559840600510005,2023,19,428,9,428
2023-05-14,202320,4058,4058,4058,4058,4209102,0,656.6566,0,4,420910220232019840,2024-05-20,0.70173305,Joinville,617979,14,100,0,0,2,89.0722714285714,78.5434418571429,16.4661655714286,19,3412,NA,NA,NA,NA,4209102,11.839985714285714,21.99332857142857,16.409871428571428,1.5645,57.62037142857143,95.66205714285717,81.02764285714285,-0.1488857452585776,0.04757473200423376,-0.15575113284677916,-0.2888351614415815,-0.34528114944329247,0.6887616215612249,0.288917736224734,0.05400428329890259,0.2686979953175016,0.2306939108336657,-0.5081769863003642,0.8755174877781042,0.5758231171892161,0.449237628273616,0.5779861395684759,0.49849074898168366,0.13792013113504967,0.9512573130259924,0,-0.5896251497349598,-0.11804671694729457,-0.33447024278039317,0.3538903932442464,-0.19359499231160507,-0.3667813546216102,-0.23276488343784377,0.8091287143186308,0.48683607672302454,-0.955662395858475,2023,20,429,9,429
2023-05-21,202321,3160,3160,3160,3160,4209102,0,511.34424,0,4,420910220232119900,2024-05-27,0.60687405,Joinville,617979,17.7142857142857,98.3597585714286,0,0,2,88.7775614285714,75.4164818571429,20.7894738571429,23.8571428571429,2451,NA,NA,NA,NA,4209102,15.28657142857143,23.7621,18.8609,4.2915,63.78754285714285,98.23837142857144,86.00561428571429,-0.3296315522126996,-0.01042345117369951,-0.44317565111448604,-0.3048566258060662,-0.831181685232823,1.022940713897122,-0.04625748589074971,-0.17696737899112017,-0.1067705442141726,-0.07599951146219457,-0.707633686184203,0.6534348137505588,0.41018615112062023,0.18285761917763868,0.3516456695260944,0.409120303301323,-0.4017798954893755,1.000695855490619,0,0.8828127938412513,0.012928560269636288,-1.0241566077850897,-0.3336896769662988,0.3532622554069476,-0.19308052850124602,-1.0859602287819625,-0.23354826563504785,0.8089702083013629,0.48617642493674346,2023,21,430,9,430
2023-05-28,202322,2912,2912,2912,2912,4209102,0,471.2134,0,4,420910220232219900,2024-06-03,0.68600327,Joinville,617979,16.6923076923077,100,0,0,2,97.1567712307692,94.7910348461538,16.8653846153846,17.1153846153846,2222,NA,NA,NA,NA,4209102,13.351742857142858,20.143642857142854,16.314514285714285,126.1556,68.7268,94.66701428571427,85.59598571428572,-0.3446625980702123,-0.1148252781416528,-0.5354061994485702,-0.16612196878833316,-1.2853706869472405,1.2334956742662817,-0.22307389962734964,-0.030983840088707172,-0.30558429113589214,-0.21388117337341248,-0.7961987454250561,0.9160012902285191,0.27288300977833224,0.21734083893053943,0.1983314023791983,0.3072672696545518,-0.6082387105305557,1.2188401424445217,0,0.8828127938412513,0.012928560269636288,-0.24886213815268024,-1.0243650182194328,-0.333912672767749,0.3541533317941184,0.2522286357166211,-1.0862257833948137,-0.23365873874561122,0.8082456352789708,2023,22,431,9,431
2023-06-04,202323,2718,2718,2718,2718,4209102,0,439.82077,0,4,420910220232319900,2024-06-10,0.79429543,Joinville,617979,14.5990142857143,94.5437857142857,0,0,2,82.8905714285714,59.6117,18.7070428571429,25.1512714285714,2062,NA,NA,NA,NA,4209102,13.663457142857142,23.79992857142857,17.918071428571427,18.3061,58.21371428571429,94.40127142857142,81.45612857142856,-0.7319101659803109,-0.4105624912484673,-0.9204805184367439,-0.5738354990932448,-1.3152519135923442,0.46520079066927306,-0.3832450353551713,-0.034473529884308234,-0.4814764428708716,-0.34845042954167643,-0.9014290395165941,0.7961147378874093,0.04919100367467764,0.11757077099413799,-0.02712617727793812,0.07635287459024667,-0.7565782621574423,1.071544153498232,0,-0.3975631791361814,-0.5449029536494772,-1.0543193999935871,-0.2479588145367117,-1.0241810481619396,-0.3334948436887194,0.14211141211827583,0.25115089769126914,-1.0862969762868175,-0.23417318575709023,2023,23,432,9,432
2023-06-11,202324,2565,2565,2565,2565,4209102,3.181637e-8,415.06265,0,4,420910220232419900,2024-06-10,0.86449564,Joinville,617979,14.0040428571429,89.4049142857143,0,0,2,82.7138142857143,74.938,15.9394714285714,18.522,1800,NA,NA,NA,NA,4209102,12.509614285714283,17.262785714285716,14.543214285714289,479.8216,76.22262857142857,92.17661428571428,84.6928,-0.7904529853440724,-0.737081983090736,-1.0973349597075568,-0.3633490012098146,-1.8441308142401691,0.0972679607741994,-0.49530574980160974,-0.442927543594265,-0.6593624269587266,-0.35093061928137853,-1.4046247561429606,0.4876358730745448,-0.09078755541636464,-0.3250177835874193,-0.21844694088925237,0.02415189749150458,-1.3125915338253638,0.7064393373213271,0,-0.3975631791361814,-0.5449029536494772,-0.5470919449206836,-1.0545710623850435,-0.24823232543835838,-1.024238596802842,-0.9707737879432665,0.1411005072469053,0.2510180959879207,-1.0866395870260406,2023,24,433,9,433
2023-06-18,202325,1834,1834,1834,1834,4209102,0,296.77383,0,4,420910220232519900,2024-06-24,0.67977124,Joinville,617979,15.7142857142857,93.1309962857143,0,0,2,91.8036805714286,90.1873077142857,15.904762,16.1428571428571,1201,NA,NA,NA,NA,4209102,11.687642857142857,20.986757142857144,15.533171428571428,23.4957,63.763,94.5423,83.64628571428571,-0.9530261695190491,-0.3011636624722145,-1.0417015746091531,-0.8058273720794287,-0.6193880277833104,-0.5976915871942378,-0.6758436501666429,-0.20036574907060936,-0.7810460154546941,-0.5964651100501533,-0.9312122784534532,0.2646836395700497,-0.3879326959674075,-0.2873181849698059,-0.4627956487346545,-0.3623753691102064,-0.8589655239753083,0.21565115468843535,0,0.8591762686717749,-0.6599893009424199,-1.6146062567312356,-0.5466162681459973,-1.054369294053926,-0.24775548955906326,-0.1006848921140667,-0.9711092523566517,0.14097277522500049,0.2504059697300012,2023,25,434,9,434
2023-06-25,202326,1519,1519,1519,1519,4209102,0,245.80124,0,4,420910220232619900,2024-07-01,0.6386304,Joinville,617979,17.2857142857143,96.5049491428571,0,0,2,94.6728728571429,93.1178968571429,17.8095238571429,18.2857142857143,972,NA,NA,NA,NA,4209102,13.642557142857145,22.676571428571428,17.456214285714285,16.625700000000002,62.499385714285715,91.3804,80.87164285714286,-1.2428487713810752,-0.5817722444667873,-1.3407040182008123,-1.0654231992642387,-0.6210038901495781,-1.3346481905696275,-0.8361541453620887,-0.4474783171933341,-0.9864319322695788,-0.6611883304097425,-1.2232688167097152,-0.06061785666238485,-0.6204851458573999,-0.31366907837614666,-0.7138614464283549,-0.5592476837416398,-0.9284091482119081,0.07038250928739742,0,0.19023828062078801,-0.7700108359920244,-1.3014690265181654,-1.6156613428551903,-0.5467138014502427,-1.054447632897614,-0.3820110876891689,-0.10154843726952156,-0.9711857483115425,0.1403828269282215,2023,26,435,9,435
