window,mape_M0,mape_M1,mape_M2,mape_M3,mape_M4,mape_M5,mape_M6,mape_M7,mape_M8,mape_M9,mape_M10,mape_M11,mape_M12,mape_M13
37,12.682353991409471,13.794770059530018,16.1605514015697,12.449319999297655,19.546463718648866,20.85291051359778,15.242676294323779,21.97259050896489,8.695132059281773,13.383348716145472,20.04221532851877,20.12133042068102,15.997604112842176,27.843484520506546
38,16.436149741723927,17.745039501339875,18.93768558356651,15.953068349762683,26.89222667264419,26.355196921130535,21.414278242742007,17.58670434169828,6.965702124400659,17.131559860050043,24.694685490033997,24.748173063022627,15.256465891384218,35.97968471720805
39,19.898301235124883,20.52588572055811,20.85096241778134,19.548864527768746,29.058389424277692,28.73422959029433,24.72661774632618,18.023350626364014,11.75589351569653,13.269995714469541,18.16887808189621,18.164715670729553,9.614218539434654,30.666258522945135
40,31.797606475822466,32.61520157140252,31.83796146313536,31.095383234442593,43.47074787499467,44.183370368302946,37.908593031954865,20.70713611599273,19.87926127019233,23.340414188303164,29.286587274187685,29.239575072313922,18.70199572336623,43.68452333995413
41,30.51904331101091,30.519104058971685,29.662197214625767,30.209795875264895,36.72946487044103,39.32214062597809,33.08879685776948,22.635792145021743,16.45906323663175,15.294706025526168,19.20387943918257,19.17084738645721,13.364485144847487,30.190741598629383
42,40.86274849745626,40.204788467853014,38.89949285316609,40.82669790011817,48.13697085031588,49.607921052427564,44.57880576677532,26.38877780186979,11.777965160307918,28.98267384141994,31.25998882167883,31.128517405945182,29.002197452449558,44.921941568173004
43,35.93029861844836,34.761638169573416,32.14381321250438,36.03372510525544,39.265484494943614,41.452271179166175,37.4283409157259,38.20289941995154,17.08429907696896,19.413912423738225,20.275411101270755,20.128578829876083,18.832698667498647,31.20207818249101
44,24.330506184611284,25.119424565562603,26.813217483341077,23.72472439343823,29.08633772115552,30.27348156189434,27.202073311288455,60.89658218718974,31.10868142264061,14.271167176932517,16.649300559962548,16.62947716388091,16.036370016882447,21.877230017598794
45,23.190677885111437,25.23892414309853,28.809325458517343,22.41603148711994,32.48681459435653,34.14923167333439,27.597243762944473,74.64548981933329,15.007753313996176,16.575116630607152,22.665764074921967,22.489180601777814,21.551260954489297,31.828181425874863
46,39.77499585841735,42.18520737089362,46.94420670016411,39.19995513047885,47.47862673235922,49.373478357819344,43.34540870166093,85.85621370393682,16.291618478866855,30.35854073104854,37.509154427297524,37.413771967830996,34.31732423320493,42.444548169012634
47,18.99300167490391,22.49828448523064,28.104025196283477,18.21674612329533,30.448861395453577,31.321482362843533,24.741874325123266,98.52745732013058,19.07520230572288,14.545538493460313,18.097956147696408,18.121349400523354,16.55797233724693,24.15982487094892
48,13.743952409296249,17.42047131916653,23.882810827942325,13.214444533683366,28.608409809548156,30.854210906473075,20.330245711372285,109.69603490011184,20.581445670441035,15.268366463325494,14.830248805939334,14.807077614449723,15.938573515999801,21.08382148122375
49,27.20242643910617,33.06762008954717,40.93948170927402,25.58003583488415,49.6558050909238,51.657067050610564,37.42493618212364,125.05978862409737,22.05178090005814,18.362142680734596,30.503548212445114,30.412894971708166,22.07397635977183,41.22473112987039
50,25.813162965606384,31.827901952323295,40.207642900899295,24.26282088918855,45.814825463890145,49.890263314208035,33.86489215648949,135.24137507914818,31.45348539048589,16.09066491481433,23.246606294779255,23.370065687519805,18.267910766585356,30.776545748218098
51,21.247627718010133,25.31014119784862,31.912269781396883,20.11003586417242,32.517996978550414,35.69951732643667,25.180624650349685,152.99226805759042,25.448194668490387,16.546615499182582,12.966549306122216,12.999957117320566,17.927673011727865,13.06065010384099
52,18.480463326696185,17.10347974255978,15.599565499722132,19.166539451913046,14.403378118452112,13.663861935786015,16.872382574601687,147.9645322087555,28.252531779865564,34.82947724796347,30.317153212717727,30.16168048203393,39.772434113382985,28.474204278522297
53,11.113252629926723,12.053780000907869,13.257386549766542,10.872452751451114,13.927775247379035,15.103157282802352,12.03820711944452,144.26963554811374,54.14490343136434,23.268738987958944,20.26920606086794,20.130377842616724,26.700784804113496,18.258494052108478
