window,rmse_M0,rmse_M1,rmse_M2,rmse_M3,rmse_M4,rmse_M5,rmse_M6,rmse_M7,rmse_M8,rmse_M9,rmse_M10,rmse_M11,rmse_M12,rmse_M13
16,336.9529690787593,364.31734523862843,371.95624580478943,333.278542176169,437.77373710436177,425.7934308681672,387.6186210728442,207.9561197345013,199.1861881267743,353.128230162137,407.98787404722276,408.16511951669406,375.6230738209653,445.4352418220785
17,187.0391701844512,200.13271315996212,207.3790664326217,183.28232410557473,256.45963024303205,248.29872395759233,215.6688948463252,155.39391720162064,313.8418459717984,212.61517385802412,214.4308182175166,214.32137749986617,213.8086215332345,232.3293831016083
18,184.2097518404367,190.4530194078505,198.27340545461615,182.70464080716349,233.33780318396563,221.37139539589646,205.66730397256003,110.39686965680386,232.36667909941102,238.29678095179426,209.18527635574156,208.99459161483466,222.56587985335673,196.53119220222158
19,175.06033735529624,169.63003922775263,152.20424413046533,176.7234738717202,116.1725737458122,120.40846322849026,144.23601047068667,116.49468570232348,255.07182068191784,404.977303814086,340.02940998129435,339.3734738862936,388.1542595044763,222.72134713309603
20,203.37624863712236,199.23203323066448,184.1088549246539,205.15984504559185,131.9712114065813,142.70956498987107,167.14881356292702,118.04441521095396,407.6916605296513,430.3315948741001,374.39331525493526,373.8004458727613,403.0899727792424,254.34330967384076
21,212.9452619752707,206.51481400169234,190.1083344656375,213.63354873031028,152.63116597675864,150.69610909251494,185.82302076023763,118.27059285410454,789.4380742907897,397.5838880585673,349.1321675935975,348.5437505955432,348.7299000366632,254.8452651035457
22,176.18312655107795,172.05426752072762,160.55963900049824,174.57883328837073,130.75811889063726,125.19747956053655,157.22686301813022,111.9713697014844,578.2840820116795,346.9166813118193,303.24325231441975,302.7488070574273,288.25270405280264,211.7883994493186
23,136.16586478201586,135.6270858874192,130.02640033142092,134.0865025184332,103.4630786163598,96.504884977122,123.50870399555802,106.31798700143,416.677135066148,266.07959258397756,239.37460672595725,239.12311653705052,232.8172917183269,165.7211441202333
24,29.4089395991922,28.431404398587603,29.217537129242743,29.983695376832717,35.73979689276937,45.20335700886012,27.409908748531006,81.23327009988466,228.9160417388681,95.33393350730451,71.2449998707026,71.05085758751468,60.776811859903944,29.924445229309747
25,48.52278720206164,49.26175783293158,57.20253333316704,48.74126273216382,67.79065788188635,79.30243330605124,52.807375014627084,50.9067120598857,94.02988601462049,41.59872699268571,29.55189301969869,29.337078191570125,29.34208274160727,34.25752885217328
26,28.67777394721697,30.14252994872047,33.3114665526314,28.242699914611926,40.65693870234329,49.86428013987229,31.471140666845784,57.01830840028597,25.936721910805332,77.3290189660075,61.563765978880085,61.242409467902505,62.172787116383034,29.48864938634655
27,49.15117053438595,51.28178022326367,54.03856402327961,47.63853782000224,59.06911399387979,67.73004110118802,52.24735543881596,55.78329003090055,31.62004628365155,29.518816263115404,20.558541867467984,20.47041819238121,23.48891293443454,27.403308734933596
28,35.247927208832806,36.661079018015776,42.64225821176401,34.60828992352007,45.84253196723513,57.855944832994105,37.43389027652371,63.80969134015355,20.24407163604026,41.02120190115703,31.29363139547526,31.003674551125354,30.557496735468206,20.32396432196044
29,50.743268630117825,50.63370941756777,53.51184492465918,50.615334500266314,52.64233135296472,63.151886729664945,48.616778002627726,74.92794570134907,24.58601745202109,22.094059314828204,19.73510976061944,19.63817270552122,21.69939803703706,21.88211820522742
30,37.54427223106842,35.87853314371047,36.88829706882037,37.68523946574991,39.647423219978336,44.30189907339765,37.77756641217035,85.36086980528253,26.983472598429373,22.560370804781023,22.02734975284511,21.915144295444712,23.387326376619928,20.596276532665165
31,65.0637597684501,62.63811105567953,62.77640534756235,65.93217153783789,66.45152938475076,69.87876679896264,66.0107246282489,92.10020562744897,21.549873164965714,36.028793537604336,34.258752983605426,34.493314804335704,41.77504755845146,44.356884225123
32,33.91201412570163,28.417202835329988,23.031218898928664,35.288116964032284,28.859375702079078,31.00122112445459,32.12857716888811,95.07373926794325,30.30115491085301,16.49991779619855,28.58817348005089,28.474411247346836,41.06010548900863,20.234701225167733
33,32.6064100648739,28.261522307859572,22.31011735607896,33.12438741911393,30.44221920346452,29.42961013943708,33.20319014383525,94.84178972669487,37.82040431454367,15.885278886419604,25.41805003793146,25.47411568512572,27.485691334585976,26.205558630614398
34,12.26132797919976,17.991976219682606,28.92831592739584,11.909604825502369,28.703929980890706,26.520483522881005,18.327115395737806,91.60856041363628,18.140475297703595,32.09242027455276,56.38288295577921,56.52186884999765,54.37837428722074,60.43420352917105
35,26.747155077712392,21.714835149769332,21.480494529922986,28.431951587041215,26.32877062043118,25.83398959182299,24.78434581157725,89.16857276801267,18.472208498966403,17.731994968113302,25.336340346068482,25.49155893585926,17.725896928952928,36.311334132681885
36,31.297082547164326,34.77424774555476,41.77140916449838,30.728475359008446,50.409973954448546,50.78954808992063,38.55989239739614,82.53748265195011,37.52360739963864,32.06836745772803,47.69581243586895,47.89030195297673,35.59802028244902,66.86554804124548
37,47.80841535467749,51.81991554977708,58.0416787013862,47.146907415657076,69.5176851986566,74.35642039969545,55.53448725486963,72.05274667680042,28.303071043576253,45.50870645971883,62.72913645876776,62.92377017167021,49.232265367788756,87.60191052067937
38,55.98727927750394,59.47441717544594,61.95480859173392,54.42520549240661,86.68716885419511,85.89091403766577,70.67113252134563,59.01740254941548,24.56738861107626,52.34064641615229,70.90271783296343,71.02277098699751,45.40177275388335,104.10119016321887
39,62.21534356886297,64.03923070801827,64.43326794777806,61.07815950007186,88.92547366617954,88.94829196405253,75.98225432786818,56.0259332540391,33.75316513259767,39.70966613896163,53.00646598783814,53.00517178260685,29.57186861123878,88.04121256338676
40,91.62078928518149,93.36001258110619,90.37068510822827,89.71787287934077,119.3403810214814,122.0029902148642,106.02714991758691,59.46848114352469,53.1969077320706,63.33768737888783,77.29009897662104,77.14296149472482,50.49814457078235,113.926898918484
41,84.17495605899356,83.97539872758274,81.37556134500976,83.38261173011831,98.70954735197853,105.89945724245297,90.00843036102577,64.0125475162685,43.85254743088876,42.92183682017679,51.05063319262094,50.94290686580835,37.579007140265425,78.01965885779684
42,104.76793281389898,103.05562257765523,99.76666057109603,104.64553249132983,121.76471219081407,125.60388235500031,113.57417310336984,73.17889080022331,32.87592743140499,71.87056044062638,76.91047347089199,76.57985957542293,71.29174623986609,109.86394360725555
43,86.62120952597502,84.25586228160851,79.23418065755531,86.715621759274,95.53680567896036,100.56191017189187,90.69208932255576,101.78327414616146,45.184992749163804,47.95566168182069,50.71491015436364,50.32552214480044,46.576062417942495,75.90880118093646
44,56.36350598311821,58.93077671307424,64.17219340760488,54.92805691330321,70.56481782580929,73.40422071032593,64.13491308536506,142.09291788734362,70.81220439580143,35.68643315394258,41.07391266300447,41.01674178401724,40.11144784132557,55.04730214431943
45,53.38417086510706,58.73783404138083,68.05849755187828,51.63224473123942,77.65451652240509,81.74924543479456,64.39999243282631,168.12984148265733,37.632903689825305,38.07741667445511,53.444113498628006,53.10928989231202,51.758137944367725,75.21237763071422
46,87.6168469466464,94.9003344657545,108.47382960452556,85.91261175974346,112.36588579355455,117.8017557790601,98.67302650395463,195.86224353859086,45.20041211198978,66.28766408383699,81.98898662390702,81.79249082210954,75.65647441010721,94.64618013396574
47,48.652155150062455,59.32831496705157,76.70595009346562,46.45370621235035,81.84411614747349,85.09928247355639,64.76279589824247,236.409712699214,49.04986529173488,33.75731450020143,43.32294706138553,43.38416725315704,41.09556144963871,57.608442094797894
48,37.105791253108244,47.43853602088568,65.56031168869222,35.08041819207672,78.74252827605305,85.19490311081643,54.606952403801465,277.7854615208474,51.2740385159737,39.23337482253222,35.893691358644915,35.857705086938054,38.1098551840394,49.49538043898037
49,75.07233970401707,92.85615744944067,116.32079400223206,70.45046294445181,139.910487884942,146.80749709458607,103.4878866816855,326.3621301426386,60.4074152348525,45.40915913995055,71.86489433944304,71.77333414195414,54.79227281781334,97.726685558976
50,72.50448261274788,90.94129067389181,116.3020264065786,67.94535996635533,132.12393033975886,144.86372699265002,95.70582252094724,369.1749087469625,89.98414165845985,41.8217563051613,56.68496054178302,56.9342872730569,50.053268798308494,73.3578820676963
51,73.52919051945764,85.40677200555054,103.92581324517248,70.41045059136799,108.45115695775718,119.18868720140497,85.78512100120116,437.16583668160155,72.82098323092443,52.751632017796666,38.46007600618699,38.55478281823671,53.87861617679286,39.941525143513644
52,59.462817145621,55.27941061886387,51.302439327093396,61.53437600029524,49.25368772399499,49.056012306083574,54.637719130839145,485.73324679839146,116.24161107847785,126.02180637558888,112.5649507773123,111.84960785242728,141.74051017886202,106.01063093629668
53,66.01854941077502,66.95692847409349,67.76372027867545,65.40331905910406,66.43685175709486,68.24142965230901,65.76185322190442,511.71075948251683,232.55345365421914,143.06097155645926,134.4220516091336,133.37735736292666,154.80756917071912,117.52855303758419
